NO LOAD			Charger			Bulb
8.99, 57.19, 6.36			10.93, 51.81, 4.74			14.25, 67.46, 4.73
8.12, 55.25, 6.80			10.93, 57.20, 5.24			12.97, 58.34, 4.50
9.55, 51.03, 5.34			11.12, 61.07, 5.49			13.35, 62.40, 4.67
7.66, 47.55, 6.21			11.55, 56.36, 4.88			12.87, 69.07, 5.37
8.84, 57.35, 6.48			11.06, 55.28, 5.00			13.38, 61.68, 4.61
7.71, 45.04, 5.84			10.84, 59.32, 5.47			13.79, 83.21, 6.03
7.72, 51.48, 6.67			11.73, 71.67, 6.11			12.86, 70.12, 5.45
7.85, 47.31, 6.02			10.84, 55.04, 5.08			13.43, 60.68, 4.52
8.70, 51.74, 5.95			10.57, 48.81, 4.62			13.08, 63.65, 4.87
8.70, 45.83, 5.27			10.10, 44.66, 4.42			13.00, 67.45, 5.19
7.82, 50.07, 6.40			10.48, 52.25, 4.98			13.50, 75.90, 5.62
8.27, 57.44, 6.94			10.97, 54.29, 4.95			12.40, 53.33, 4.30
8.70, 57.09, 6.56			11.48, 61.45, 5.35			14.09, 68.95, 4.89
8.83, 58.79, 6.66			11.04, 47.05, 4.26			13.16, 69.77, 5.30
7.96, 51.80, 6.51			11.26, 57.89, 5.14			13.54, 65.69, 4.85
7.45, 53.27, 7.15			11.50, 58.00, 5.04			13.60, 89.83, 6.61
8.03, 50.46, 6.28			11.07, 62.95, 5.69			12.99, 70.51, 5.43
8.00, 48.08, 6.01			11.93, 55.48, 4.65			13.25, 66.99, 5.05
8.64, 58.38, 6.76			11.83, 57.88, 4.89			13.01, 67.02, 5.15
8.70, 50.59, 5.81			11.50, 60.34, 5.25			12.31, 85.13, 6.91
8.47, 51.83, 6.12			11.55, 60.60, 5.24			11.90, 54.85, 4.61
8.55, 51.83, 6.06			12.08, 71.31, 5.90			13.08, 68.40, 5.23
8.33, 48.68, 5.84			11.80, 55.17, 4.68			12.77, 76.58, 6.00
8.55, 58.14, 6.80			12.30, 51.96, 4.23			12.81, 55.93, 4.37
7.80, 51.37, 6.59			11.45, 60.36, 5.27			13.49, 62.51, 4.63
8.73, 50.72, 5.81			12.50, 66.78, 5.34			13.68, 56.90, 4.16
8.55, 52.78, 6.17			11.46, 57.83, 5.04			14.19, 68.11, 4.80
8.10, 57.13, 7.06			11.28, 59.81, 5.30			12.79, 62.02, 4.85
7.36, 59.71, 8.11			10.94, 57.86, 5.29			12.66, 53.45, 4.22
8.70, 53.52, 6.15			11.37, 59.38, 5.22			13.03, 68.84, 5.28
7.62, 46.58, 6.12			12.01, 59.02, 4.91			13.63, 61.55, 4.51
8.41, 50.94, 6.06			11.49, 51.23, 4.46			12.71, 59.97, 4.72
7.75, 43.32, 5.59			11.57, 56.64, 4.90			13.44, 58.93, 4.39
